order_id,order_date,customer_id,channel,sku,quantity,unit_price,discount_pct,line_total
O000346,2023-07-03,C0011,online,PW-0026,1,26.87,0.061,25.23
O000700,2023-07-03,C0022,online,PW-0115,3,17.96,0.025,52.52
O000700,2023-07-03,C0022,online,PW-0001,2,11.36,0.025,22.15
O000700,2023-07-03,C0022,online,PW-0043,4,12.0,0.025,46.79
O000700,2023-07-03,C0022,online,PW-0039,1,104.74,0.025,102.09
O001613,2023-07-03,C0041,rep,PW-0051,8,11.21,0.191,72.58
O001613,2023-07-03,C0041,rep,PW-0016,3,23.22,0.191,56.37
O005554,2023-07-03,C0138,online,PW-0116,2,29.49,0.0,58.98
O005554,2023-07-03,C0138,online,PW-0018,1,32.06,0.0,32.06
O006222,2023-07-03,C0154,phone,PW-0034,1,13.01,0.069,12.11
O006222,2023-07-03,C0154,phone,PW-0054,1,36.39,0.069,33.87
O006222,2023-07-03,C0154,phone,PW-0029,1,8.25,0.069,7.68
O006222,2023-07-03,C0154,phone,PW-0033,1,21.37,0.069,19.89
O006222,2023-07-03,C0154,phone,PW-0056,1,9.05,0.069,8.42
O006222,2023-07-03,C0154,phone,PW-0117,1,30.69,0.069,28.57
O006222,2023-07-03,C0154,phone,PW-0027,4,95.75,0.069,356.51
O006222,2023-07-03,C0154,phone,PW-0039,1,104.74,0.069,97.5
O006406,2023-07-03,C0157,online,PW-0087,2,20.54,0.026,40.02
O006406,2023-07-03,C0157,online,PW-0091,2,11.02,0.026,21.47
O006406,2023-07-03,C0157,online,PW-0028,2,35.75,0.026,69.66
O006406,2023-07-03,C0157,online,PW-0101,2,16.66,0.026,32.46
O006656,2023-07-03,C0161,phone,PW-0023,8,19.03,0.031,147.5
O006656,2023-07-03,C0161,phone,PW-0016,4,23.22,0.031,89.99
O006656,2023-07-03,C0161,phone,PW-0033,6,21.37,0.031,124.23
O006656,2023-07-03,C0161,phone,PW-0052,8,21.67,0.031,167.96
O006656,2023-07-03,C0161,phone,PW-0038,3,21.66,0.031,62.96
O006656,2023-07-03,C0161,phone,PW-0109,4,46.33,0.031,179.55
