customer_id,orders_12m,revenue_12m,avg_order_value,avg_discount_pct,pct_online,aug_jan_share,weeks_since_last_order,business_type,region,tenure_months,pilot,churned
C0001,19,2512.39,185.84,0.08,0.289,0.105,0.9,retail,South Central,39.8,,0
C0002,12,876.49,129.18,0.051,0.857,0.238,21.9,retail,Northeast,68.9,0.0,1
C0003,13,3036.18,298.54,0.062,0.286,0.464,0.4,nonprofit,Northeast,72.4,,0
C0004,7,404.83,133.27,0.058,0.458,0.125,7.3,office,Northeast,81.4,,0
C0005,35,18183.14,458.78,0.065,0.261,0.207,5.4,restaurant,Southwest,70.7,,1
C0006,8,722.52,64.94,0.045,1.0,0.304,0.7,office,Northeast,55.5,0.0,1
C0007,14,1397.17,74.95,0.043,0.949,0.205,6.3,office,South Central,47.7,0.0,1
C0009,12,39289.08,3089.35,0.075,0.36,0.36,5.3,school,South Central,37.2,,0
C0010,11,646.41,64.16,0.043,1.0,0.13,5.9,office,Northeast,45.5,0.0,0
C0011,14,1314.3,109.23,0.046,0.882,0.059,4.3,clinic,North Central,61.6,1.0,0
C0012,8,13944.88,1511.64,0.063,0.261,0.391,15.6,school,South Central,35.4,,1
C0013,7,911.34,134.58,0.051,0.333,0.095,13.3,retail,South Central,51.2,,1
C0014,8,862.49,91.31,0.035,0.875,0.375,2.4,office,South Central,70.4,0.0,0
C0015,10,1250.87,97.81,0.043,0.933,0.067,10.9,office,Northeast,43.2,0.0,1
C0016,5,492.98,113.21,0.055,0.885,0.077,15.6,retail,South Central,79.9,1.0,1
C0017,10,22393.97,4499.98,0.056,0.111,0.333,5.4,school,Southwest,50.6,,0
C0018,23,9076.02,370.78,0.068,0.423,0.135,0.9,retail,North Central,74.4,,0
C0019,18,770.29,48.12,0.042,0.95,0.225,4.4,office,Southeast,68.4,0.0,0
C0020,10,1539.8,148.93,0.082,0.333,0.111,21.6,retail,South Central,20.2,,1
C0021,18,1278.0,72.01,0.033,0.943,0.143,3.4,office,South Central,77.6,0.0,0
C0022,29,18828.47,582.06,0.066,0.355,0.145,2.6,restaurant,South Central,80.8,,1
C0023,24,4420.52,160.78,0.056,0.356,0.044,0.9,office,South Central,59.7,,0
C0024,13,2087.67,119.3,0.042,0.962,0.038,8.3,clinic,South Central,56.8,0.0,1
C0025,5,7870.45,1228.85,0.063,0.3,0.3,20.7,school,Northwest,76.6,,0
C0026,10,1742.38,220.02,0.074,0.37,0.296,0.9,office,Southwest,86.4,,0
C0027,1,686.88,686.88,0.157,0.0,0.0,6.6,office,South Central,3.4,,0
C0028,17,8201.11,331.72,0.062,0.282,0.103,7.6,retail,Northeast,73.6,,0
C0029,12,967.86,82.28,0.043,0.9,0.267,0.3,restaurant,South Central,52.4,0.0,0
C0030,13,2311.95,147.15,0.056,0.367,0.367,1.4,school,South Central,87.6,,0
C0031,10,691.98,94.97,0.039,0.963,0.222,0.3,restaurant,South Central,80.7,1.0,0
C0032,11,35096.28,2358.31,0.079,0.091,0.273,7.3,school,Northeast,81.8,,1
C0033,15,819.57,68.52,0.046,1.0,0.229,4.9,restaurant,South Central,86.0,0.0,0
C0034,9,2687.92,349.46,0.065,0.423,0.231,19.7,office,South Central,37.2,,1
C0035,13,2230.5,181.85,0.078,0.414,0.103,0.6,office,Northeast,89.8,,0
C0036,35,12842.75,419.41,0.056,0.458,0.229,1.9,restaurant,South Central,81.6,,0
C0037,31,19974.2,630.89,0.064,0.317,0.257,1.4,restaurant,Northeast,39.6,,0
