customer_id,name,business_type,city,region,signup_date
C0001,Chisholm Hardware,retail,Wichita,South Central,2022-09-05
C0002,Arkalon Outfitters,retail,Kansas City,Northeast,2020-03-31
C0003,Prairie Youth Club,nonprofit,Manhattan,Northeast,2019-12-17
C0004,Tallgrass Engineering,office,Topeka,Northeast,2019-03-16
C0005,Neosho Bistro,restaurant,Dodge City,Southwest,2020-02-06
C0006,Konza Realty,office,Lawrence,Northeast,2021-05-15
C0007,Neosho Insurance,office,Derby,South Central,2022-01-06
C0008,Gypsum Bistro,restaurant,Wichita,South Central,2025-09-29
C0009,Gypsum High School,school,Wichita,South Central,2022-11-23
C0010,Konza Insurance,office,Kansas City,Northeast,2022-03-14
C0011,Cedar Urgent Care,clinic,Salina,North Central,2020-11-09
C0012,Redbud Middle School,school,Wichita,South Central,2023-01-15
C0013,Meadowlark Emporium,retail,Wichita,South Central,2021-09-22
C0014,Konza Accounting,office,Wichita,South Central,2020-02-14
C0015,Walnut Law Office,office,Topeka,Northeast,2022-05-24
C0016,Heartland Trading Co,retail,Wichita,South Central,2019-05-03
C0017,Arkalon High School,school,Dodge City,Southwest,2021-10-11
C0018,Gypsum Hardware,retail,Salina,North Central,2019-10-17
C0019,Prairie Insurance,office,Pittsburg,Southeast,2020-04-15
C0020,Arkalon Trading Co,retail,Wichita,South Central,2024-04-23
C0021,Bluestem Engineering,office,Wichita,South Central,2019-07-12
C0022,Saline Grill,restaurant,Wichita,South Central,2019-04-04
C0023,Cottonwood Accounting,office,Wichita,South Central,2021-01-05
C0024,Tallgrass Dental,clinic,Wichita,South Central,2021-04-04
C0025,Flint Hills Academy,school,Hays,Northwest,2019-08-11
C0026,Ninnescah Realty,office,Dodge City,Southwest,2018-10-17
C0027,Redbud Law Office,office,Wichita,South Central,2025-09-14
C0028,Cedar Trading Co,retail,Manhattan,Northeast,2019-11-11
C0029,Walnut Steakhouse,restaurant,Wichita,South Central,2021-08-15
C0030,Bluestem Elementary,school,Wichita,South Central,2018-09-10
C0031,Prairie Diner,restaurant,Wichita,South Central,2019-04-07
C0032,Neosho USD Office,school,Topeka,Northeast,2019-03-06
C0033,Neosho BBQ,restaurant,Wichita,South Central,2018-10-29
C0034,Heartland Engineering,office,Derby,South Central,2022-11-22
C0035,Sunflower Realty,office,Lawrence,Northeast,2018-07-04
C0036,Neosho Cafe,restaurant,Wichita,South Central,2019-03-10
C0037,Saline Diner,restaurant,Kansas City,Northeast,2022-09-09
C0038,Chisholm Hardware #2,retail,Wichita,South Central,2020-08-08
C0039,Redbud Pediatrics,clinic,Wichita,South Central,2022-10-21
C0040,Gypsum Wellness Center,clinic,Pittsburg,Southeast,2022-07-31
C0041,Heartland BBQ,restaurant,Garden City,Southwest,2020-07-07
C0042,Prairie USD Office,school,Dodge City,Southwest,2025-10-17
C0043,Chisholm High School,school,Topeka,Northeast,2019-11-26
C0044,Meadowlark Learning Center,school,Garden City,Southwest,2022-08-25
C0045,Arkalon Realty,office,Lawrence,Northeast,2021-02-13
C0046,Solomon High School,school,Topeka,Northeast,2022-10-03
C0047,Ninnescah Cafe,restaurant,Garden City,Southwest,2021-02-28
C0048,Solomon Steakhouse,restaurant,Derby,South Central,2023-01-11
C0049,Walnut Vision Care,clinic,Topeka,Northeast,2022-01-17
C0050,Prairie Wellness Center,clinic,Hays,Northwest,2026-02-02
C0051,Gypsum High School #2,school,Topeka,Northeast,2021-07-03
C0052,Neosho Academy,school,Kansas City,Northeast,2019-03-16
C0053,Walnut Family Clinic,clinic,Kansas City,Northeast,2025-07-22
C0054,Cottonwood BBQ,restaurant,Topeka,Northeast,2023-11-03
C0055,Sunflower Dental,clinic,Dodge City,Southwest,2019-03-26
C0056,Konza Hardware,retail,Kansas City,Northeast,2019-10-29
C0057,Redbud Hardware,retail,Derby,South Central,2021-11-19
C0058,Konza Steakhouse,restaurant,Topeka,Northeast,2019-08-22
C0059,Prairie Elementary,school,Topeka,Northeast,2021-02-04
C0060,Smoky Hill Steakhouse,restaurant,Hutchinson,South Central,2022-10-04
C0061,Gypsum Accounting,office,Wichita,South Central,2024-11-10
C0062,Redbud Dental,clinic,Wichita,South Central,2020-12-18
C0063,Cottonwood Wellness Center,clinic,Wichita,South Central,2020-12-26
C0064,Arkalon Taqueria,restaurant,Wichita,South Central,2019-11-19
C0065,Solomon Bistro,restaurant,Derby,South Central,2023-01-29
C0066,Smoky Hill Shelter,nonprofit,Pittsburg,Southeast,2022-11-26
C0067,Chisholm Diner,restaurant,Hays,Northwest,2025-05-13
C0068,Heartland Engineering #2,office,Topeka,Northeast,2023-01-19
C0069,Saline Emporium,retail,Salina,North Central,2020-04-14
C0070,Konza Market,retail,Topeka,Northeast,2022-08-14
C0071,Cedar Grill,restaurant,Kansas City,Northeast,2021-02-28
C0072,Redbud Trading Co,retail,Salina,North Central,2019-12-15
C0073,Gypsum Elementary,school,Wichita,South Central,2018-08-24
C0074,Redbud Title Co,office,Dodge City,Southwest,2026-03-08
C0075,Saline Vision Care,clinic,Topeka,Northeast,2025-03-10
C0076,Walnut Diner,restaurant,Manhattan,Northeast,2020-01-05
C0077,Konza Dental,clinic,Kansas City,Northeast,2022-07-29
C0078,Bluestem Community Center,nonprofit,Wichita,South Central,2022-12-10
C0079,Neosho Law Office,office,Kansas City,Northeast,2022-08-04
C0080,Heartland Diner,restaurant,Wichita,South Central,2022-07-22
C0081,Saline Taqueria,restaurant,Derby,South Central,2021-09-08
C0082,Saline Kitchen,restaurant,Wichita,South Central,2022-09-13
C0083,Gypsum Grill,restaurant,Wichita,South Central,2024-02-08
C0084,Meadowlark Title Co,office,Kansas City,Northeast,2021-08-31
C0085,Bluestem Ministries,nonprofit,Pittsburg,Southeast,2024-01-31
C0086,Tallgrass USD Office,school,Lawrence,Northeast,2025-05-26
C0087,Heartland Title Co,office,Salina,North Central,2019-03-29
C0088,Heartland Grill,restaurant,Kansas City,Northeast,2019-01-15
C0089,Prairie Grill,restaurant,Wichita,South Central,2022-03-07
C0090,Heartland Senior Center,nonprofit,Salina,North Central,2023-01-12
C0091,Flint Hills BBQ,restaurant,Wichita,South Central,2024-12-06
C0092,Walnut Market,retail,Wichita,South Central,2021-07-03
C0093,Heartland Taqueria,restaurant,Wichita,South Central,2018-10-24
C0094,Gypsum Vision Care,clinic,Wichita,South Central,2020-08-10
C0095,Redbud Realty,office,Wichita,South Central,2020-11-25
C0096,Flint Hills BBQ #2,restaurant,Lawrence,Northeast,2018-08-11
C0097,Redbud Hardware #2,retail,Kansas City,Northeast,2024-08-02
C0098,Sunflower Diner,restaurant,Kansas City,Northeast,2023-06-11
C0099,Heartland BBQ #2,restaurant,Kansas City,Northeast,2019-10-23
C0100,Cottonwood Academy,school,Manhattan,Northeast,2019-09-12
C0101,Meadowlark Market,retail,Topeka,Northeast,2018-07-17
C0102,Prairie Mercantile,retail,Hays,Northwest,2021-06-15
C0103,Tallgrass Realty,office,Dodge City,Southwest,2020-10-07
C0104,Redbud Accounting,office,Kansas City,Northeast,2018-07-27
C0105,Konza Middle School,school,Wichita,South Central,2022-09-12
C0106,Walnut Learning Center,school,Hays,Northwest,2021-11-03
C0107,Cottonwood BBQ #2,restaurant,Wichita,South Central,2021-10-14
C0108,Solomon Outfitters,retail,Derby,South Central,2020-11-29
C0109,Tallgrass Insurance,office,Kansas City,Northeast,2022-04-08
C0110,Konza Steakhouse #2,restaurant,Topeka,Northeast,2020-04-28
C0111,Chisholm Family Clinic,clinic,Wichita,South Central,2025-07-12
C0112,Walnut Market #2,retail,Topeka,Northeast,2025-05-27
C0113,Meadowlark Insurance,office,Kansas City,Northeast,2022-05-21
C0114,Flint Hills Ministries,nonprofit,Wichita,South Central,2023-01-08
C0115,Cedar Urgent Care #2,clinic,Kansas City,Northeast,2022-01-30
C0116,Solomon Accounting,office,Hays,Northwest,2023-10-16
C0117,Walnut Hardware,retail,Wichita,South Central,2020-03-13
C0118,Gypsum Mercantile,retail,Wichita,South Central,2021-05-01
C0119,Meadowlark Trading Co,retail,Wichita,South Central,2023-04-16
C0120,Saline Insurance,office,Lawrence,Northeast,2020-04-27
C0121,Walnut High School,school,Topeka,Northeast,2021-10-11
C0122,Neosho Diner,restaurant,Kansas City,Northeast,2021-03-22
C0123,Tallgrass Emporium,retail,Wichita,South Central,2020-09-13
C0124,Chisholm Insurance,office,Manhattan,Northeast,2023-08-07
C0125,Redbud Steakhouse,restaurant,Wichita,South Central,2021-03-08
C0126,Tallgrass Outfitters,retail,Hutchinson,South Central,2022-09-07
C0127,Smoky Hill Insurance,office,Kansas City,Northeast,2021-05-05
C0128,Arkalon Urgent Care,clinic,Kansas City,Northeast,2021-07-13
C0129,Flint Hills Community Center,nonprofit,Topeka,Northeast,2026-04-30
C0130,Tallgrass Steakhouse,restaurant,Manhattan,Northeast,2021-01-26
C0131,Bluestem Urgent Care,clinic,Garden City,Southwest,2026-01-06
C0132,Walnut Kitchen,restaurant,Wichita,South Central,2021-05-18
C0133,Walnut Accounting,office,Wichita,South Central,2020-03-13
C0134,Solomon Kitchen,restaurant,Hutchinson,South Central,2022-06-05
C0135,Tallgrass Title Co,office,Wichita,South Central,2020-09-20
C0136,Smoky Hill Community Center,nonprofit,Manhattan,Northeast,2019-01-01
C0137,Chisholm Wellness Center,clinic,Salina,North Central,2024-08-22
C0138,Meadowlark Kitchen,restaurant,Salina,North Central,2018-11-26
C0139,Cedar Middle School,school,Wichita,South Central,2020-12-01
C0140,Ninnescah Academy,school,Hays,Northwest,2018-11-05
C0141,Cottonwood Shelter,nonprofit,Topeka,Northeast,2019-11-03
C0142,Neosho Emporium,retail,Kansas City,Northeast,2018-08-01
C0143,Flint Hills Realty,office,Manhattan,Northeast,2023-11-29
C0144,Arkalon Law Office,office,Dodge City,Southwest,2022-10-13
C0145,Sunflower BBQ,restaurant,Wichita,South Central,2020-07-27
C0146,Arkalon Market,retail,Wichita,South Central,2018-08-12
C0147,Walnut Insurance,office,Hays,Northwest,2022-10-15
C0148,Bluestem Insurance,office,Garden City,Southwest,2023-10-18
C0149,Chisholm Youth Club,nonprofit,Topeka,Northeast,2019-02-21
C0150,Sunflower Wellness Center,clinic,Wichita,South Central,2020-04-17
C0151,Arkalon Vision Care,clinic,Wichita,South Central,2021-03-27
C0152,Neosho Youth Club,nonprofit,Hutchinson,South Central,2019-07-17
C0153,Gypsum Law Office,office,Hays,Northwest,2018-09-03
C0154,Redbud Kitchen,restaurant,Topeka,Northeast,2020-05-07
C0155,Solomon High School #2,school,Kansas City,Northeast,2022-11-09
C0156,Meadowlark Diner,restaurant,Wichita,South Central,2023-06-27
C0157,Neosho Dental,clinic,Wichita,South Central,2019-10-12
C0158,Flint Hills Middle School,school,Wichita,South Central,2019-06-20
C0159,Arkalon Mercantile,retail,Wichita,South Central,2023-04-26
C0160,Solomon Cafe,restaurant,Salina,North Central,2023-03-24
C0161,Smoky Hill Kitchen,restaurant,Salina,North Central,2022-08-22
C0162,Smoky Hill Cafe,restaurant,Wichita,South Central,2019-12-11
C0163,Redbud Law Office #2,office,Wichita,South Central,2021-06-24
C0164,Smoky Hill Steakhouse #2,restaurant,Wichita,South Central,2021-01-04
C0165,Walnut Kitchen #2,restaurant,Kansas City,Northeast,2022-07-07
C0166,Ninnescah High School,school,Lawrence,Northeast,2021-10-02
C0167,Konza Realty #2,office,Topeka,Northeast,2023-11-27
C0168,Neosho Trading Co,retail,Lawrence,Northeast,2022-06-27
C0169,Bluestem Mercantile,retail,Kansas City,Northeast,2020-05-23
C0170,Arkalon Bistro,restaurant,Kansas City,Northeast,2020-09-23
C0171,Tallgrass Family Clinic,clinic,Salina,North Central,2021-06-15
C0172,Cottonwood Hardware,retail,Kansas City,Northeast,2019-12-26
C0173,Heartland Engineering #3,office,Topeka,Northeast,2021-01-14
C0174,Neosho Accounting,office,Hays,Northwest,2024-07-24
C0175,Saline Steakhouse,restaurant,Garden City,Southwest,2025-01-02
C0176,Smoky Hill Family Clinic,clinic,Wichita,South Central,2019-11-16
C0177,Prairie Cafe,restaurant,Wichita,South Central,2023-01-10
C0178,Bluestem Middle School,school,Lawrence,Northeast,2020-10-11
C0179,Konza Accounting #2,office,Salina,North Central,2020-07-07
C0180,Saline USD Office,school,Pittsburg,Southeast,2025-12-29
C0181,Solomon High School #3,school,Hays,Northwest,2020-01-30
C0182,Neosho Insurance #2,office,Hutchinson,South Central,2024-11-08
C0183,Sunflower Mercantile,retail,Derby,South Central,2024-05-25
C0184,Cedar Middle School #2,school,Salina,North Central,2020-07-19
C0185,Gypsum Kitchen,restaurant,Garden City,Southwest,2018-09-21
C0186,Tallgrass Diner,restaurant,Pittsburg,Southeast,2022-05-19
C0187,Redbud Learning Center,school,Wichita,South Central,2018-08-11
C0188,Meadowlark Elementary,school,Salina,North Central,2020-02-09
C0189,Flint Hills Realty #2,office,Wichita,South Central,2020-01-01
C0190,Saline Outfitters,retail,Wichita,South Central,2018-10-23
C0191,Cottonwood Insurance,office,Kansas City,Northeast,2019-09-25
C0192,Chisholm Trading Co,retail,Dodge City,Southwest,2021-11-13
C0193,Neosho Mercantile,retail,Salina,North Central,2020-01-10
C0194,Walnut Taqueria,restaurant,Wichita,South Central,2018-08-18
C0195,Smoky Hill Mercantile,retail,Hutchinson,South Central,2021-09-05
C0196,Smoky Hill BBQ,restaurant,Wichita,South Central,2021-07-12
C0197,Smoky Hill Hardware,retail,Manhattan,Northeast,2022-06-11
C0198,Chisholm Trading Co #2,retail,Wichita,South Central,2023-01-22
C0199,Neosho Grill,restaurant,Wichita,South Central,2019-08-25
C0200,Flint Hills Cafe,restaurant,Topeka,Northeast,2025-05-18
C0201,Saline Emporium #2,retail,Hutchinson,South Central,2023-05-16
C0202,Meadowlark Senior Center,nonprofit,Lawrence,Northeast,2019-07-28
C0203,Flint Hills Title Co,office,Wichita,South Central,2019-12-28
C0204,Walnut Law Office #2,office,Wichita,South Central,2021-11-13
C0205,Heartland Diner #2,restaurant,Wichita,South Central,2018-08-19
C0206,Cottonwood Diner,restaurant,Kansas City,Northeast,2023-01-17
C0207,Arkalon Trading Co #2,retail,Kansas City,Northeast,2023-07-05
C0208,Chisholm Cafe,restaurant,Garden City,Southwest,2023-05-21
C0209,Meadowlark Kitchen #2,restaurant,Lawrence,Northeast,2021-11-25
C0210,Walnut Kitchen #3,restaurant,Derby,South Central,2023-04-06
C0211,Tallgrass Kitchen,restaurant,Garden City,Southwest,2022-12-08
C0212,Saline Kitchen #2,restaurant,Wichita,South Central,2021-08-02
C0213,Prairie Diner #2,restaurant,Kansas City,Northeast,2018-08-28
C0214,Cedar Cafe,restaurant,Lawrence,Northeast,2022-06-14
C0215,Konza Vision Care,clinic,Lawrence,Northeast,2022-12-03
C0216,Neosho Mercantile #2,retail,Hutchinson,South Central,2026-01-04
C0217,Redbud Kitchen #2,restaurant,Manhattan,Northeast,2020-07-30
C0218,Saline Cafe,restaurant,Manhattan,Northeast,2024-05-05
C0219,Gypsum Hardware #2,retail,Topeka,Northeast,2019-08-16
C0220,Heartland Grill #2,restaurant,Hutchinson,South Central,2019-03-25
C0221,Cottonwood Insurance #2,office,Kansas City,Northeast,2020-10-11
C0222,Solomon Elementary,school,Garden City,Southwest,2022-04-25
C0223,Saline BBQ,restaurant,Wichita,South Central,2023-10-12
C0224,Heartland Taqueria #2,restaurant,Hutchinson,South Central,2023-02-25
C0225,Chisholm Kitchen,restaurant,Lawrence,Northeast,2022-12-24
C0226,Gypsum Dental,clinic,Topeka,Northeast,2020-03-09
C0227,Saline Cafe #2,restaurant,Manhattan,Northeast,2020-11-22
C0228,Konza Emporium,retail,Wichita,South Central,2021-03-20
C0229,Meadowlark Market #2,retail,Wichita,South Central,2021-10-07
C0230,Cottonwood Steakhouse,restaurant,Wichita,South Central,2025-03-09
C0231,Sunflower Law Office,office,Wichita,South Central,2019-09-15
C0232,Redbud Kitchen #3,restaurant,Wichita,South Central,2019-09-18
C0233,Cedar Food Bank,nonprofit,Salina,North Central,2024-06-06
C0234,Smoky Hill Taqueria,restaurant,Kansas City,Northeast,2024-10-01
C0235,Saline Vision Care #2,clinic,Salina,North Central,2024-12-30
C0236,Flint Hills Steakhouse,restaurant,Lawrence,Northeast,2024-08-16
C0237,Neosho Engineering,office,Wichita,South Central,2021-06-22
C0238,Cedar Insurance,office,Wichita,South Central,2018-08-08
C0239,Solomon Engineering,office,Derby,South Central,2019-02-14
C0240,Bluestem High School,school,Garden City,Southwest,2020-06-21
C0241,Meadowlark Dental,clinic,Wichita,South Central,2022-07-01
C0242,Neosho Cafe #2,restaurant,Topeka,Northeast,2019-01-18
C0243,Cottonwood Bistro,restaurant,Wichita,South Central,2021-11-10
C0244,Heartland Youth Club,nonprofit,Wichita,South Central,2022-11-20
C0245,Gypsum Academy,school,Kansas City,Northeast,2019-03-28
C0246,Bluestem Realty,office,Wichita,South Central,2022-05-04
C0247,Sunflower Cafe,restaurant,Topeka,Northeast,2020-10-08
C0248,Solomon Realty,office,Wichita,South Central,2019-07-21
C0249,Chisholm Engineering,office,Topeka,Northeast,2020-01-18
C0250,Solomon Food Bank,nonprofit,Hutchinson,South Central,2021-10-17
C0251,Neosho Bistro #2,restaurant,Dodge City,Southwest,2020-02-09
C0252,Gypsum Law Office #2,office,Hutchinson,South Central,2020-01-31
C0253,Heartland Grill #3,restaurant,Derby,South Central,2023-05-03
C0254,Arkalon Title Co,office,Hutchinson,South Central,2024-03-10
C0255,Saline Emporium #3,retail,Salina,North Central,2022-11-01
C0256,Gypsum Title Co,office,Wichita,South Central,2023-10-10
C0257,Tallgrass Bistro,restaurant,Manhattan,Northeast,2020-01-10
C0258,Smoky Hill Steakhouse #3,restaurant,Wichita,South Central,2020-05-14
C0259,Prairie Taqueria,restaurant,Wichita,South Central,2020-10-09
C0260,Sunflower Engineering,office,Wichita,South Central,2020-12-26
C0261,Meadowlark Vision Care,clinic,Dodge City,Southwest,2018-09-14
C0262,Cedar Insurance #2,office,Wichita,South Central,2020-09-21
C0263,Cedar Steakhouse,restaurant,Garden City,Southwest,2023-03-11
C0264,Prairie Engineering,office,Salina,North Central,2020-04-17
C0265,Heartland Law Office,office,Dodge City,Southwest,2023-09-08
C0266,Chisholm Vision Care,clinic,Pittsburg,Southeast,2019-04-13
C0267,Smoky Hill Ministries,nonprofit,Pittsburg,Southeast,2021-10-19
C0268,Chisholm High School #2,school,Salina,North Central,2018-07-21
C0269,Tallgrass Diner #2,restaurant,Derby,South Central,2023-02-06
C0270,Flint Hills Taqueria,restaurant,Wichita,South Central,2021-12-31
C0271,Heartland Trading Co #2,retail,Wichita,South Central,2019-01-12
C0272,Sunflower Senior Center,nonprofit,Salina,North Central,2020-06-30
C0273,Saline Elementary,school,Wichita,South Central,2025-01-07
C0274,Heartland Trading Co #3,retail,Hays,Northwest,2020-05-01
C0275,Bluestem Pediatrics,clinic,Wichita,South Central,2018-07-24
C0276,Bluestem Kitchen,restaurant,Kansas City,Northeast,2021-10-25
C0277,Cottonwood High School,school,Salina,North Central,2022-06-15
C0278,Flint Hills Kitchen,restaurant,Kansas City,Northeast,2020-06-04
C0279,Smoky Hill Title Co,office,Wichita,South Central,2020-12-25
C0280,Walnut Kitchen #4,restaurant,Hays,Northwest,2019-08-06
C0281,Chisholm Emporium,retail,Lawrence,Northeast,2025-04-07
C0282,Flint Hills BBQ #3,restaurant,Hutchinson,South Central,2020-09-27
C0283,Redbud Vision Care,clinic,Wichita,South Central,2018-12-21
C0284,Walnut High School #2,school,Wichita,South Central,2025-07-06
C0285,Ninnescah Grill,restaurant,Garden City,Southwest,2019-11-30
C0286,Cedar Outfitters,retail,Kansas City,Northeast,2020-07-04
C0287,Redbud Trading Co #2,retail,Hutchinson,South Central,2022-06-24
C0288,Heartland Trading Co #4,retail,Derby,South Central,2025-01-02
C0289,Heartland Urgent Care,clinic,Kansas City,Northeast,2019-03-25
C0290,Tallgrass BBQ,restaurant,Manhattan,Northeast,2020-07-10
C0291,Cottonwood Wellness Center #2,clinic,Wichita,South Central,2018-10-30
C0292,Flint Hills Market,retail,Hays,Northwest,2019-05-23
C0293,Walnut Food Bank,nonprofit,Garden City,Southwest,2023-10-14
C0294,Walnut Law Office #3,office,Topeka,Northeast,2020-10-30
C0295,Ninnescah Bistro,restaurant,Wichita,South Central,2018-09-02
C0296,Gypsum Law Office #3,office,Salina,North Central,2025-12-23
C0297,Bluestem Food Bank,nonprofit,Manhattan,Northeast,2021-06-03
C0298,Saline Learning Center,school,Wichita,South Central,2019-02-01
C0299,Bluestem Market,retail,Wichita,South Central,2018-08-16
C0300,Chisholm Trading Co #3,retail,Lawrence,Northeast,2022-10-27
C0301,Chisholm Steakhouse,restaurant,Wichita,South Central,2019-07-26
C0302,Redbud Diner,restaurant,Kansas City,Northeast,2020-11-27
C0303,Konza Diner,restaurant,Kansas City,Northeast,2019-06-02
C0304,Walnut Steakhouse #2,restaurant,Pittsburg,Southeast,2019-01-12
C0305,Cottonwood Kitchen,restaurant,Dodge City,Southwest,2019-05-14
C0306,Meadowlark Dental #2,clinic,Dodge City,Southwest,2023-11-07
C0307,Gypsum Learning Center,school,Wichita,South Central,2023-04-10
C0308,Chisholm Kitchen #2,restaurant,Manhattan,Northeast,2021-11-20
C0309,Cottonwood Middle School,school,Manhattan,Northeast,2022-09-05
C0310,Cedar Middle School #3,school,Derby,South Central,2023-01-31
C0311,Arkalon Bistro #2,restaurant,Manhattan,Northeast,2018-08-15
C0312,Solomon Grill,restaurant,Hays,Northwest,2019-10-01
C0313,Konza Youth Club,nonprofit,Derby,South Central,2023-05-06
C0314,Neosho USD Office #2,school,Salina,North Central,2023-10-09
C0315,Cedar BBQ,restaurant,Hutchinson,South Central,2023-03-16
C0316,Flint Hills Emporium,retail,Wichita,South Central,2022-02-08
C0317,Smoky Hill Bistro,restaurant,Kansas City,Northeast,2019-12-13
C0318,Prairie Engineering #2,office,Derby,South Central,2019-09-15
C0319,Smoky Hill Hardware #2,retail,Topeka,Northeast,2019-08-06
C0320,Sunflower Hardware,retail,Wichita,South Central,2024-03-17
C0321,Konza Urgent Care,clinic,Salina,North Central,2019-01-20
C0322,Redbud Diner #2,restaurant,Pittsburg,Southeast,2020-04-06
C0323,Meadowlark Insurance #2,office,Derby,South Central,2020-06-18
C0324,Cottonwood Middle School #2,school,Kansas City,Northeast,2020-05-10
C0325,Gypsum Grill #2,restaurant,Kansas City,Northeast,2020-09-11
C0326,Prairie Cafe #2,restaurant,Wichita,South Central,2020-04-16
C0327,Walnut Steakhouse #3,restaurant,Wichita,South Central,2023-01-15
C0328,Chisholm Hardware #3,retail,Dodge City,Southwest,2022-01-13
C0329,Walnut Accounting #2,office,Kansas City,Northeast,2018-11-28
C0330,Ninnescah Taqueria,restaurant,Kansas City,Northeast,2020-04-05
C0331,Bluestem Kitchen #2,restaurant,Garden City,Southwest,2018-09-12
C0332,Sunflower Bistro,restaurant,Wichita,South Central,2018-07-30
C0333,Redbud Pediatrics #2,clinic,Kansas City,Northeast,2020-11-14
C0334,Chisholm Kitchen #3,restaurant,Salina,North Central,2026-03-28
C0335,Walnut Learning Center #2,school,Hutchinson,South Central,2019-12-16
C0336,Konza Trading Co,retail,Lawrence,Northeast,2025-07-23
C0337,Konza Kitchen,restaurant,Topeka,Northeast,2026-02-28
C0338,Chisholm Vision Care #2,clinic,Derby,South Central,2019-08-12
C0339,Sunflower Pediatrics,clinic,Derby,South Central,2022-05-13
C0340,Neosho Realty,office,Hutchinson,South Central,2021-07-29
C0341,Tallgrass Law Office,office,Wichita,South Central,2019-04-29
C0342,Saline Urgent Care,clinic,Salina,North Central,2024-07-11
C0343,Arkalon Pediatrics,clinic,Kansas City,Northeast,2021-06-24
C0344,Sunflower Elementary,school,Garden City,Southwest,2018-11-11
C0345,Arkalon Urgent Care #2,clinic,Kansas City,Northeast,2025-08-19
